sample_id,status,unsupported_log_odds,unsupported_score,log_class_token_mass,emitted_token_id
17143,ok,0.5,0.6224593312018546,-9.558070759307924e-07,33
15937,ok,-0.5,0.37754066879814546,-1.7306674580108705e-06,32
11000,ok,-0.375,0.4073334000459302,-1.2518704444186568e-06,32
13266,ok,-0.125,0.46879062662624377,-3.7755425110752583e-06,32
11582,ok,1.875,0.8670357598021706,-3.4217467190233997e-07,33
14984,ok,-2.8750000968575478,0.053403324903538434,-1.7136015398322435e-08,32
3825,ok,-0.375,0.4073334000459302,-1.4306843787448287e-06,32
710,ok,-4.500000096857548,0.010986941578116865,5.235651044654954e-10,32
10409,ok,0.25,0.5621765008857981,-1.1621582196585933e-07,33
5584,ok,1.8749998956918716,0.8670357477770336,-1.147869285927916e-06,33
11646,ok,-0.6250000596046448,0.3486451217982255,-9.220751206462374e-07,32
1772,ok,-2.9999998807907104,0.04742587856304458,-8.421704994487911e-08,32
5662,ok,3.499999936670065,0.9706877674467155,-2.2875700305541313e-07,33
7629,ok,3.3749998919665813,0.9669140181551665,-9.880331173217627e-07,33
13320,ok,-3.874999890103936,0.020332355531672935,-1.1311733269861457e-07,32
6121,ok,-3.374999973922968,0.03308597922294221,4.4885978246755887e-08,32
10044,ok,2.9999998807907104,0.9525741214369554,-8.421704994487911e-08,33
13303,ok,-1.3749999403953552,0.20181323186177208,-2.6257713544308725e-06,32
13013,ok,6.250000192085281,0.9980732657060568,-2.1385528579118476e-08,33
12428,ok,-4.499999898485839,0.010986943733669423,-3.5335287521271602e-06,32
11031,ok,2.625000074505806,0.9324533135530545,-4.832011770844469e-07,33
10151,ok,-0.8749999701976776,0.2942149783515162,-1.3323629615147325e-06,32
6352,ok,-0.25,0.4378234991142019,-7.122622697197656e-07,32
6040,ok,-1.9999998956918716,0.11920293297380237,-6.487176741343248e-07,32
9696,ok,-5.87499988428317,0.0028009272903275605,-1.4654183244037361e-08,32
15849,ok,2.875000022351742,0.946596671330088,-8.029187007693728e-07,33
14163,ok,-0.8749999701976776,0.2942149783515162,-2.1668279883702013e-06,32
9180,ok,0.6250000596046448,0.6513548782017746,-1.1604936997478e-06,33
12892,ok,-3.3749999813735485,0.03308597898458846,-1.863285300149342e-07,32
6486,ok,-2.0,0.11920292202211755,-5.568433800451356e-07,32
9317,ok,-0.125,0.46879062662624377,-1.3913567200596333e-06,32
13151,ok,-1.4999999701976776,0.18242552825126704,-2.88121715519285e-06,32
6946,ok,5.62500005075708,0.9964063976003252,5.112472280591196e-09,33
9256,ok,3.124999925494194,0.9579122690805788,-2.5971906295052527e-07,33
15087,ok,2.8749999590218067,0.9465966681286702,-1.8165409228151908e-06,33
522,ok,-8.250000034138793,0.0002611903101813263,-4.81975911298697e-08,32
4072,ok,-1.1249999403953552,0.24508502416032488,-4.882006391371263e-07,32
3040,ok,-2.8750000968575478,0.053403324903538434,-1.7136015398322435e-08,32
8469,ok,0.375,0.5926665999540697,-1.4306843787448287e-06,33
10395,ok,6.375000138184987,0.9982992778231793,-4.231670196544468e-10,33
2902,ok,0.25,0.5621765008857981,-1.5467272965752343e-06,33
14682,ok,0.5,0.6224593312018546,-3.5976062817688614e-07,33
11363,ok,1.9999999105930328,0.880797068590724,-8.740113541516603e-07,33
17155,ok,-1.4999999403953552,0.18242553269617778,-3.263210641757386e-06,32
5766,ok,-0.8750000298023224,0.29421496597446145,-5.750391583458914e-07,32
12052,ok,-0.9999999403953552,0.2689414330889798,-8.186722305070226e-07,32
12877,ok,-6.625000164145604,0.001325022200004762,-1.917322765853692e-08,32
9350,ok,-0.7500000298023224,0.32082129433083023,-6.691624910848404e-07,32
7469,ok,0.5,0.6224593312018546,-3.001559834014955e-07,33
16109,ok,-0.8750000596046448,0.2942149597859341,-1.0308422833116282e-06,32
