sample_id,label,verdict,status,task
17143,0,supported,ok,QA
15937,0,supported,ok,QA
11000,1,unsupported,ok,Data2txt
13266,0,supported,ok,QA
11582,1,unsupported,ok,Data2txt
14984,1,supported,ok,QA
3825,0,supported,ok,Summary
710,0,supported,ok,Summary
10409,0,supported,ok,Data2txt
5584,1,unsupported,ok,Summary
11646,0,supported,ok,Data2txt
1772,1,supported,ok,Summary
5662,1,unsupported,ok,Data2txt
7629,1,unsupported,ok,Data2txt
13320,0,supported,ok,QA
6121,0,supported,ok,Data2txt
10044,0,unsupported,ok,Data2txt
13303,0,supported,ok,QA
13013,1,unsupported,ok,QA
12428,0,supported,ok,QA
11031,1,unsupported,ok,Data2txt
10151,1,supported,ok,Data2txt
6352,1,supported,ok,Data2txt
6040,1,supported,ok,Data2txt
9696,0,supported,ok,Data2txt
15849,1,unsupported,ok,QA
14163,0,supported,ok,QA
9180,0,supported,ok,Data2txt
12892,1,supported,ok,QA
6486,1,supported,ok,Data2txt
9317,1,supported,ok,Data2txt
13151,1,supported,ok,QA
6946,1,unsupported,ok,Data2txt
9256,1,unsupported,ok,Data2txt
15087,1,unsupported,ok,QA
522,0,supported,ok,Summary
4072,0,supported,ok,Summary
3040,0,supported,ok,Summary
8469,0,unsupported,ok,Data2txt
10395,1,unsupported,ok,Data2txt
2902,0,unsupported,ok,Summary
14682,0,supported,ok,QA
11363,1,unsupported,ok,Data2txt
17155,0,supported,ok,QA
5766,0,supported,ok,Data2txt
12052,1,supported,ok,QA
12877,0,supported,ok,QA
9350,1,supported,ok,Data2txt
7469,0,supported,ok,Data2txt
16109,0,supported,ok,QA
