sample_id,label,unsupported_probability,task
17143,0,0.2,QA
15937,0,0.05,QA
11000,1,0.1,Data2txt
13266,0,0.0,QA
11582,1,0.1,Data2txt
14984,1,0.1,QA
3825,0,0.0,Summary
710,0,0.0,Summary
10409,0,0.0,Data2txt
5584,1,0.2,Summary
11646,0,0.0,Data2txt
1772,1,0.1,Summary
5662,1,0.1,Data2txt
7629,1,0.2,Data2txt
13320,0,0.1,QA
6121,0,0.0,Data2txt
10044,0,0.2,Data2txt
13303,0,0.2,QA
13013,1,0.2,QA
12428,0,0.0,QA
11031,1,0.2,Data2txt
10151,1,0.1,Data2txt
6352,1,0.2,Data2txt
6040,1,0.0,Data2txt
9696,0,0.0,Data2txt
15849,1,0.2,QA
14163,0,0.05,QA
9180,0,0.0,Data2txt
12892,1,0.0,QA
6486,1,0.0,Data2txt
9317,1,0.2,Data2txt
13151,1,0.1,QA
6946,1,0.2,Data2txt
9256,1,0.2,Data2txt
15087,1,0.2,QA
522,0,0.0,Summary
4072,0,0.1,Summary
3040,0,0.0,Summary
8469,0,0.2,Data2txt
10395,1,0.2,Data2txt
2902,0,0.2,Summary
14682,0,0.05,QA
11363,1,0.2,Data2txt
17155,0,0.2,QA
5766,0,0.0,Data2txt
12052,1,0.0,QA
12877,0,0.0,QA
9350,1,0.0,Data2txt
7469,0,0.2,Data2txt
16109,0,0.1,QA
