slot,unsupported_log_odds,unsupported_score,log_class_token_mass,emitted_token_id
primary:attribute-supported-short,-8.749999893334461,0.00015843623599953396,3.218628375989082e-08,32
primary:attribute-supported-embedded,-6.250000192085281,0.001926734293943221,-2.1385528579118476e-08,32
primary:attribute-contradicted-short,15.749999880790718,0.9999998555019791,2.5288748951236418e-08,33
primary:attribute-contradicted-embedded,12.624999523168299,0.9999967112493663,-4.9098608865915974e-08,33
primary:attribute-unknown-short,6.999999819439836,0.9990889486412496,5.024878348722055e-08,33
primary:attribute-unknown-embedded,2.5000000074505806,0.9241418205010697,-3.4404239417085147e-07,33
primary:numeric-supported-short,-12.750000000004093,2.9023119851992187e-06,4.129734042220571e-08,32
primary:numeric-supported-embedded,-14.749999642372188,3.9278634073828336e-07,3.515860606993345e-08,32
primary:numeric-contradicted-short,13.250000119210881,0.9999982396569966,-2.77931987496255e-08,33
primary:numeric-contradicted-embedded,9.374999884399585,0.9999151889484731,-1.7796638719928988e-07,33
primary:absence-explicit-false-short,-7.250000132829882,0.0007096703049020562,4.454139162937774e-08,32
primary:absence-explicit-false-embedded,-7.500000152911525,0.0005527785524441058,-4.680115582697455e-08,32
primary:absence-unknown-short,-1.874999925494194,0.13296424878721277,-6.451924487727023e-07,32
primary:absence-unknown-embedded,-1.6249999850988388,0.16451646494473965,-2.1673228972618475e-07,32
swapped:attribute-supported-short,-9.250000243031536,9.610239214580366e-05,2.893585576742709e-08,33
swapped:attribute-supported-embedded,-8.499999663079507,0.00020342704657999323,-2.1809219641198046e-08,33
swapped:attribute-contradicted-short,15.749999880790718,0.9999998555019791,2.5288748951236418e-08,32
swapped:attribute-contradicted-embedded,13.749999880791279,0.9999989322970027,-5.179470204079493e-09,32
swapped:attribute-unknown-short,12.250000000011369,0.9999952149055051,1.6745730089425354e-08,32
swapped:attribute-unknown-embedded,2.7499998845160007,0.9399133433038893,-1.3085461979256419e-07,32
swapped:numeric-supported-short,-12.250000000011369,4.785094494835719e-06,1.6745730089425354e-08,33
swapped:numeric-supported-embedded,-15.49999976158145,1.8553914607279394e-07,-5.2879387394669636e-08,33
swapped:numeric-contradicted-short,15.999999880790718,0.9999998874648246,-6.6741006429403614e-09,32
swapped:numeric-contradicted-embedded,13.624999761582103,0.999998790134028,1.777449048237453e-08,32
swapped:absence-explicit-false-short,-7.250000132829882,0.0007096703049020562,4.454139162937774e-08,33
swapped:absence-explicit-false-embedded,-10.125000000800355,4.006369219714334e-05,1.0973834570676732e-08,33
swapped:absence-unknown-short,-0.7500000298023224,0.32082129433083023,-2.457301834346559e-06,33
swapped:absence-unknown-embedded,-1.75,0.1480471980316895,-4.8856956702536536e-08,33
repeat:attribute-supported-short,-8.749999893334461,0.00015843623599953396,3.218628375989082e-08,32
temperature:attribute-supported-short,-8.749999893334461,0.00015843623599953396,3.218628375989082e-08,32
